Namespace(cuda_num=0, epochs=150, label='mean', model='FECNet', name='FECNet-based_512_64', no_cuda=False, num_joints=13, num_points=4096, save_image=False, seed=1, sensor_sizeH=260, sensor_sizeW=346, train_batch_size=64, valid_batch_size=64)
Using GPU : 0 from 1 devices
Namespace(cuda_num=0, epochs=150, label='mean', model='FECNet', name='FECNet-based_512_64', no_cuda=False, num_joints=13, num_points=4096, save_image=False, seed=1, sensor_sizeH=260, sensor_sizeW=346, train_batch_size=96, valid_batch_size=96)
Using GPU : 0 from 1 devices
Valid 62 epoch, Acc: 0.942276, MPJPE2D: 6.466132, MPJPE3D: 74.104914
Valid 63 epoch, Acc: 0.944555, MPJPE2D: 6.332566, MPJPE3D: 72.336045
Valid 64 epoch, Acc: 0.941843, MPJPE2D: 6.500529, MPJPE3D: 74.212512
Valid 65 epoch, Acc: 0.938500, MPJPE2D: 6.742053, MPJPE3D: 77.521498
Valid 66 epoch, Acc: 0.942399, MPJPE2D: 6.543958, MPJPE3D: 74.996585
Valid 67 epoch, Acc: 0.943344, MPJPE2D: 6.398861, MPJPE3D: 74.401230
Valid 68 epoch, Acc: 0.942972, MPJPE2D: 6.342264, MPJPE3D: 72.867378
Valid 69 epoch, Acc: 0.943876, MPJPE2D: 6.411944, MPJPE3D: 73.843094
Valid 70 epoch, Acc: 0.940240, MPJPE2D: 6.580494, MPJPE3D: 74.820033
Valid 71 epoch, Acc: 0.942683, MPJPE2D: 6.459173, MPJPE3D: 73.814740
Valid 72 epoch, Acc: 0.943852, MPJPE2D: 6.427258, MPJPE3D: 73.561301
Valid 73 epoch, Acc: 0.944447, MPJPE2D: 6.322747, MPJPE3D: 71.592087
Valid 74 epoch, Acc: 0.947167, MPJPE2D: 6.241652, MPJPE3D: 70.944064
Valid 75 epoch, Acc: 0.946130, MPJPE2D: 6.194788, MPJPE3D: 71.046868
Valid 76 epoch, Acc: 0.947367, MPJPE2D: 6.270897, MPJPE3D: 71.555727
Valid 77 epoch, Acc: 0.944893, MPJPE2D: 6.381681, MPJPE3D: 72.942320
Valid 78 epoch, Acc: 0.946855, MPJPE2D: 6.319961, MPJPE3D: 72.273234
Valid 79 epoch, Acc: 0.946895, MPJPE2D: 6.239065, MPJPE3D: 71.690155
Valid 80 epoch, Acc: 0.942714, MPJPE2D: 6.390931, MPJPE3D: 73.527260
Valid 81 epoch, Acc: 0.942997, MPJPE2D: 6.417725, MPJPE3D: 73.412133
Valid 82 epoch, Acc: 0.948265, MPJPE2D: 6.200114, MPJPE3D: 70.784970
Valid 83 epoch, Acc: 0.944590, MPJPE2D: 6.441152, MPJPE3D: 73.010714
Valid 84 epoch, Acc: 0.947752, MPJPE2D: 6.208562, MPJPE3D: 70.664483
Valid 85 epoch, Acc: 0.946357, MPJPE2D: 6.266789, MPJPE3D: 71.920535
Valid 86 epoch, Acc: 0.946251, MPJPE2D: 6.273734, MPJPE3D: 71.845220
Valid 87 epoch, Acc: 0.943470, MPJPE2D: 6.413866, MPJPE3D: 72.845575
Valid 88 epoch, Acc: 0.945357, MPJPE2D: 6.302149, MPJPE3D: 71.535693
Valid 89 epoch, Acc: 0.946474, MPJPE2D: 6.322072, MPJPE3D: 72.728171
Valid 90 epoch, Acc: 0.945341, MPJPE2D: 6.308519, MPJPE3D: 71.430189
Valid 91 epoch, Acc: 0.946562, MPJPE2D: 6.253145, MPJPE3D: 71.757424
Valid 92 epoch, Acc: 0.943369, MPJPE2D: 6.407761, MPJPE3D: 73.153008
Valid 93 epoch, Acc: 0.946026, MPJPE2D: 6.293394, MPJPE3D: 71.601627
Valid 94 epoch, Acc: 0.946687, MPJPE2D: 6.281126, MPJPE3D: 72.036625
Valid 95 epoch, Acc: 0.946134, MPJPE2D: 6.271114, MPJPE3D: 71.803280
Valid 96 epoch, Acc: 0.944848, MPJPE2D: 6.359344, MPJPE3D: 72.373058
Valid 97 epoch, Acc: 0.947616, MPJPE2D: 6.272909, MPJPE3D: 71.117146
Valid 98 epoch, Acc: 0.945280, MPJPE2D: 6.320701, MPJPE3D: 72.822081
Valid 99 epoch, Acc: 0.948712, MPJPE2D: 6.113863, MPJPE3D: 69.892521
Valid 100 epoch, Acc: 0.946019, MPJPE2D: 6.272121, MPJPE3D: 71.774244
